femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,,incidentBeginDate,incidentEndDate,fipsCountyCode,placeCode,designatedArea,,,,,
FM-5464-RI,5464,RI,FM,2023-04-14T00:00:00.000Z,2023,Fire,QUEENS RIVER FIRE,,2023-04-14T00:00:00.000Z,2023-04-16T00:00:00.000Z,9,99009,"Washington (County)(in (P)MSA 5520,6480)",,,,,
FM-5463-KS,5463,KS,FM,2023-04-13T00:00:00.000Z,2023,Fire,HADDAM FIRE,,2023-04-13T00:00:00.000Z,2023-04-16T00:00:00.000Z,201,99201,Washington (County),,,,,
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,9,99009,Baca (County),,,,,
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,61,99061,Kiowa (County),,,,,
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,,2022-10-09T00:00:00.000Z,,11,99011,Clark (County),,,,,
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,,2022-10-09T00:00:00.000Z,,59,99059,Skamania (County),,,,,
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,,2022-09-10T00:00:00.000Z,,33,99033,King (County),,,,,
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,,2022-09-10T00:00:00.000Z,,61,99061,Snohomish (County),,,,,
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,99,99099,Prowers (County),,,,,
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,119,99119,Teller (County),,,,,
DR-4738-GA,4738,GA,DR,2023-09-07T00:00:00.000Z,2023,Hurricane,HURRICANE IDALIA,,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,33,99033,Burke (County),,,,,
FM-5448-NV,5448,NV,FM,2022-08-14T00:00:00.000Z,2022,Fire,JOY LAKE FIRE,,2022-08-14T00:00:00.000Z,,31,99031,Washoe (County),,,,,
FM-5447-WA,5447,WA,FM,2022-08-04T00:00:00.000Z,2022,Fire,LIND FIRE,,2022-08-04T00:00:00.000Z,,1,99001,Adams (County),,,,,
DR-4738-GA,4738,GA,DR,2023-09-07T00:00:00.000Z,2023,Hurricane,HURRICANE IDALIA,,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,209,99209,Montgomery (County),,,,,
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,221,99221,Hood (County),,,,,
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,425,99425,Somervell (County),,,,,
FM-5443-TX,5443,TX,FM,2022-07-07T00:00:00.000Z,2022,Fire,HARD CASTLE FIRE,,2022-07-07T00:00:00.000Z,2022-07-16T00:00:00.000Z,35,99035,Bosque (County),,,,,
FM-5471-OR,5471,OR,FM,2023-07-23T00:00:00.000Z,2023,Fire,GOLDEN FIRE,,2023-07-22T00:00:00.000Z,,35,99035,Klamath (County),,,,,
DR-4738-GA,4738,GA,DR,2023-09-07T00:00:00.000Z,2023,Hurricane,HURRICANE IDALIA,,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,279,99279,Toombs (County),,,,,
FM-5429-TX,5429,TX,FM,2022-03-20T00:00:00.000Z,2022,Fire,BIG L FIRE,,2022-03-20T00:00:00.000Z,2022-03-30T00:00:00.000Z,221,99221,Hood (County),,,,,
FM-5428-TX,5428,TX,FM,2022-03-18T00:00:00.000Z,2022,Fire,WHEAT FIELD FIRE,,2022-03-17T00:00:00.000Z,2022-03-30T00:00:00.000Z,133,99133,Eastland (County),,,,,
DR-4738-GA,4738,GA,DR,2023-09-07T00:00:00.000Z,2023,Hurricane,HURRICANE IDALIA,,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,283,99283,Treutlen (County),,,,,
FM-5426-FL,5426,FL,FM,2022-03-06T00:00:00.000Z,2022,Fire,CHIPOLA FIRE COMPLEX,,2022-03-04T00:00:00.000Z,2022-04-01T00:00:00.000Z,5,99005,Bay (County),,,,,
FM-5426-FL,5426,FL,FM,2022-03-06T00:00:00.000Z,2022,Fire,CHIPOLA FIRE COMPLEX,,2022-03-04T00:00:00.000Z,2022-04-01T00:00:00.000Z,13,99013,Calhoun (County),,,,,
FM-5424-FL,5424,FL,FM,2022-03-04T00:00:00.000Z,2022,Fire,1707 ADKINS AVE FIRE,,2022-03-04T00:00:00.000Z,2022-04-01T00:00:00.000Z,5,99005,Bay (County),,,,,
FM-5422-TX,5422,TX,FM,2021-12-15T00:00:00.000Z,2022,Fire,NORTH 207 FIRE,,2021-12-15T00:00:00.000Z,2021-12-19T00:00:00.000Z,65,99065,Carson (County),,,,,
FM-5420-TX,5420,TX,FM,2021-12-10T00:00:00.000Z,2022,Fire,COUNTY LINE FIRE,,2021-12-10T00:00:00.000Z,2021-12-12T00:00:00.000Z,485,99485,Wichita (County),,,,,
FM-5419-CA,5419,CA,FM,2021-10-13T00:00:00.000Z,2022,Fire,ALISAL FIRE,,2021-10-12T00:00:00.000Z,2021-11-17T00:00:00.000Z,83,99083,Santa Barbara (County),,,,,
FM-5418-SD,5418,SD,FM,2021-10-04T00:00:00.000Z,2022,Fire,AUBURN FIRE,,2021-10-04T00:00:00.000Z,2021-10-10T00:00:00.000Z,103,99103,Pennington (County),,,,,
FM-5417-CA,5417,CA,FM,2021-09-23T00:00:00.000Z,2021,Fire,FAWN FIRE,,2021-09-23T00:00:00.000Z,2021-09-28T00:00:00.000Z,89,99089,Shasta (County),,,,,
FM-5416-CA,5416,CA,FM,2021-08-25T00:00:00.000Z,2021,Fire,FRENCH FIRE,,2021-08-24T00:00:00.000Z,2021-09-06T00:00:00.000Z,29,99029,Kern (County),,,,,
FM-5415-WA,5415,WA,FM,2021-08-19T00:00:00.000Z,2021,Fire,SCHNEIDER SPRINGS FIRE,,2021-08-19T00:00:00.000Z,2021-09-27T00:00:00.000Z,77,99077,Yakima (County),,,,,
FM-5414-WA,5414,WA,FM,2021-08-18T00:00:00.000Z,2021,Fire,TWENTYFIVE MILE FIRE,,2021-08-17T00:00:00.000Z,2021-09-13T00:00:00.000Z,7,99007,Chelan (County),,,,,
FM-5413-CA,5413,CA,FM,2021-08-17T00:00:00.000Z,2021,Fire,CALDOR FIRE,,2021-08-14T00:00:00.000Z,,17,99017,El Dorado (County),,,,,
FM-5412-CA,5412,CA,FM,2021-08-17T00:00:00.000Z,2021,Fire,MONUMENT FIRE,,2021-08-17T00:00:00.000Z,,105,99105,Trinity (County),,,,,
FM-5411-WA,5411,WA,FM,2021-08-16T00:00:00.000Z,2021,Fire,FORD CORKSCREW FIRE,,2021-08-16T00:00:00.000Z,2021-08-29T00:00:00.000Z,65,99065,Stevens (County),,,,,
FM-5410-WA,5410,WA,FM,2021-08-16T00:00:00.000Z,2021,Fire,MUCKAMUCK FIRE,,2021-08-15T00:00:00.000Z,2021-09-01T00:00:00.000Z,47,99047,Okanogan (County),,,,,
FM-5409-OR,5409,OR,FM,2021-08-16T00:00:00.000Z,2021,Fire,PATTON MEADOW FIRE,,2021-08-15T00:00:00.000Z,2021-08-31T00:00:00.000Z,37,99037,Lake (County),,,,,
FM-5408-UT,5408,UT,FM,2021-08-14T00:00:00.000Z,2021,Fire,PARLEYS CANYON FIRE,,2021-08-14T00:00:00.000Z,2021-08-18T00:00:00.000Z,35,99035,Salt Lake (County),,,,,
FM-5408-UT,5408,UT,FM,2021-08-14T00:00:00.000Z,2021,Fire,PARLEYS CANYON FIRE,,2021-08-14T00:00:00.000Z,2021-08-18T00:00:00.000Z,43,99043,Summit (County),,,,,
FM-5407-ID,5407,ID,FM,2021-08-13T00:00:00.000Z,2021,Fire,BEDROCK FIRE,,2021-08-12T00:00:00.000Z,2021-08-17T00:00:00.000Z,0,57340,Nez Perce Indian Reservation,,,,,
FM-5407-ID,5407,ID,FM,2021-08-13T00:00:00.000Z,2021,Fire,BEDROCK FIRE,,2021-08-12T00:00:00.000Z,2021-08-17T00:00:00.000Z,69,99069,Nez Perce (County),,,,,
FM-5405-CA,5405,CA,FM,2021-08-05T00:00:00.000Z,2021,Fire,RIVER FIRE,,2021-08-04T00:00:00.000Z,,61,99061,Placer (County),,,,,
FM-5404-HI,5404,HI,FM,2021-08-01T00:00:00.000Z,2021,Fire,MANA ROAD FIRE,,2021-08-01T00:00:00.000Z,2021-08-03T00:00:00.000Z,1,99001,Hawaii (County),,,,,
FM-5403-MT,5403,MT,FM,2021-07-28T00:00:00.000Z,2021,Fire,PF FIRE,,2021-07-28T00:00:00.000Z,2021-07-31T00:00:00.000Z,0,18325,Crow Indian Reservation,,,,,
FM-5403-MT,5403,MT,FM,2021-07-28T00:00:00.000Z,2021,Fire,PF FIRE,,2021-07-28T00:00:00.000Z,2021-07-31T00:00:00.000Z,3,99003,Big Horn (County),,,,,
FM-5402-NV,5402,NV,FM,2021-07-22T00:00:00.000Z,2021,Fire,TAMARACK FIRE,,2021-07-22T00:00:00.000Z,,5,99005,Douglas (County),,,,,
FM-5401-WA,5401,WA,FM,2021-07-20T00:00:00.000Z,2021,Fire,CEDAR CREEK FIRE,,2021-07-19T00:00:00.000Z,2021-08-22T00:00:00.000Z,47,99047,Okanogan (County),,,,,
