name,femaDeclarationString,declarationTitle,incidentBeginDate,incidentEndDate,disasterNumber,incidentType,pop,tot_pop,ratio_pop,total_bill,max_customers,mean_customers,min_customers,mean_duration
Albany/Schenectady/Troy SMM xAOC,DR-4445-VT,SEVERE STORMS AND FLOODING,4/15/2019,4/15/2019,4445,Flood,35532,1379787,0.025751801,1.30E-04,0,0,0,0
Albany/Schenectady/Troy SMM xAOC,DR-4472-NY,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",10/31/2019,11/1/2019,4472,Severe Storm,400744,1379787,0.290439032,0.016107443,52343,14717.05066,10,20.95
Albany/Schenectady/Troy SMM xAOC,DR-4480-NY,COVID-19 PANDEMIC,1/20/2020,4/16/2020,4480,Biological,1379787,1379787,1,0,NA,NA,NA,NA
Albany/Schenectady/Troy SMM xAOC,DR-4621-VT,SEVERE STORM AND FLOODING,7/29/2021,7/30/2021,4621,Flood,35532,1379787,0.025751801,0.001460239,0,0,0,0
Albany/Schenectady/Troy SMM xAOC,DR-4720-VT,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",7/7/2023,7/21/2023,4720,Flood,35532,1379787,0.025751801,1.73E-04,4212,133.1726293,0,23.5
Albany/Schenectady/Troy SMM xAOC,DR-4723-NY,SEVERE STORMS AND FLOODING,7/9/2023,7/10/2023,4723,Severe Storm,4438,1379787,0.003216438,4.57E-04,0,0,0,0
Albany/Schenectady/Troy SMM xAOC,EM-3565-NY,HURRICANE HENRI,8/21/2021,8/24/2021,3565,Hurricane,1036116,1379787,0.750924599,0,3112,282.0176875,7,4.1875
Albany/Schenectady/Troy SMM xAOC,EM-3567-VT,TROPICAL STORM HENRI,8/22/2021,8/24/2021,3567,Hurricane,35532,1379787,0.025751801,0,0,0,0,0
Albany/Schenectady/Troy SMM xAOC,EM-3595-VT,FLOODING,7/9/2023,7/17/2023,3595,Flood,35532,1379787,0.025751801,0,4212,180.1357342,1,15.5
Albany/Schenectady/Troy SMM xAOC,EM-3599-MA,HURRICANE LEE,9/15/2023,9/17/2023,3599,Hurricane,125217,1379787,0.090750964,0,2438,233.7708931,1,1.25
Atlanta SMM xAOC,DR-4487-NC,COVID-19 PANDEMIC,1/20/2020,4/16/2020,4487,Biological,7168364,7168364,1,0,NA,NA,NA,NA
Atlanta SMM xAOC,DR-4546-AL,SEVERE STORMS AND FLOODING,2/5/2020,3/6/2020,4546,Severe Storm,22781,7168364,0.003177992,0.001055138,2341,39.25180603,4,22
Atlanta SMM xAOC,DR-4573-AL,HURRICANE ZETA,10/28/2020,10/29/2020,4573,Hurricane,22781,7168364,0.003177992,4.81E-05,10098,3773.26,4,11.5
Atlanta SMM xAOC,DR-4579-GA,TROPICAL STORM ZETA,10/29/2020,10/29/2020,4579,Hurricane,1485338,7168364,0.207207391,0.002302734,320696,170516.0115,317,15.56578947
Atlanta SMM xAOC,DR-4596-AL,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",3/25/2021,3/26/2021,4596,Severe Storm,22781,7168364,0.003177992,1.74E-04,3272,444.1542553,4,20.5
Atlanta SMM xAOC,DR-4600-GA,SEVERE STORMS AND TORNADOES,3/25/2021,3/26/2021,4600,Severe Storm,390075,7168364,0.054416182,0.026653668,17633,3190.315687,16,14.63888889
Atlanta SMM xAOC,DR-4685-GA,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1/12/2023,1/12/2023,4685,Severe Storm,562648,7168364,0.078490434,0.02227077,55453,12522.37387,14,2.625
Atlanta SMM xAOC,DR-4710-AL,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",3/24/2023,3/27/2023,4710,Severe Storm,22781,7168364,0.003177992,1.26E-04,323,27.77058908,0,1.5
Atlanta SMM xAOC,EM-3423-NC,HURRICANE DORIAN,9/1/2019,9/9/2019,3423,Hurricane,11277,7168364,0.001573162,0,117,49.32361111,1,1.75
