event_case,market,sequence_id,event_id,event_title,event_type,pos95_start,pos95_end,peak_date,event_end,overlap_start,overlap_end,overlap_days,sales_duration,overlap_sum_residual,overlap_sum_sales,event_duration,max_outlier,start_lag,peak_lag,bill,ratio_pop,max_customer,mean_customer,min_customer,mean_duration,tot_pop,impact_pop,totalDamage,totalDamage_gdp,totalApprovedIhpAmount,totalApprovedIhpAmount_gdp,start_date,end_date,sum_residual,sum_sales,event_start,event_group
overlap,Albany/Schenectady/Troy SMM xAOC,3,DR-4480-NY,COVID-19 PANDEMIC,Biological,2020-03-07,2020-03-21,2020-03-14,2020-04-16,2020-03-07,2020-03-21,15,15,832421.6371033044,2862208.479,88,401469.42093443486,47,54,0,1,NA,NA,NA,NA,1379787,1379787,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Atlanta SMM xAOC,3,DR-4487-NC,COVID-19 PANDEMIC,Biological,2020-03-07,2020-03-21,2020-03-14,2020-04-16,2020-03-07,2020-03-21,15,15,5126661.3699829,16708341.9615,88,2525030.627827634,47,54,0,1,NA,NA,NA,NA,7168364,7168364,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Austin SMM xAOC,2,DR-4485-TX,COVID-19 PANDEMIC,Biological,2020-03-07,2020-03-21,2020-03-21,2020-04-16,2020-03-07,2020-03-21,15,15,1453704.9102246102,5048472.417,88,720319.975908203,47,61,0,1,NA,NA,NA,NA,2383984,2383984,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Baltimore SMM xAOC,2,DR-4491-MD,COVID-19 PANDEMIC,Biological,2020-03-07,2020-03-21,2020-03-14,2020-04-16,2020-03-07,2020-03-21,15,15,1882701.2405596857,6432382.574999999,88,836674.2080865623,47,54,0,1,NA,NA,NA,NA,2997116,2997116,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Birmingham/Anniston/Tuscaloosa SMM xAOC,3,DR-4503-AL,COVID-19 PANDEMIC,Biological,2020-03-14,2020-03-21,2020-03-14,2020-04-16,2020-03-14,2020-03-21,8,8,1131649.443550988,3098956.3155,88,664041.2095254944,54,54,0,1,NA,NA,NA,NA,1908031,1908031,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Boston/Manchester SMM xAOC,3,DR-4496-MA,COVID-19 PANDEMIC,Biological,2020-03-07,2020-03-21,2020-03-14,2020-04-16,2020-03-07,2020-03-21,15,15,4818385.207053639,15948784.111499999,88,2714048.8573512137,47,54,0,1,NA,NA,NA,NA,6696161,6696161,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Boston/Manchester SMM xAOC,7,EM-3566-MA,TROPICAL STORM HENRI,Hurricane,2021-08-21,2021-08-21,2021-08-21,2021-08-24,2021-08-21,2021-08-21,1,1,544169.2203444755,4758496.9995,5,544169.2203444755,1,1,0,0.031797772,0,0,0,0,6696161,212923,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical Storms
overlap,Boston/Manchester SMM xAOC,8,DR-4651-MA,SEVERE WINTER STORM AND SNOWSTORM,Snowstorm,2022-01-29,2022-01-29,2022-01-29,2022-01-29,2022-01-29,2022-01-29,1,1,655479.1210265504,4013583.393,2,655479.1210265504,1,1,0.014137365,0.335691301,113148,21791.15642327,0,10.4375,6696161,2247843,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter Storms
overlap,Buffalo SMM xAOC,2,DR-4480-NY,COVID-19 PANDEMIC,Biological,2020-03-14,2020-03-21,2020-03-14,2020-04-16,2020-03-14,2020-03-21,8,8,708341.4366803123,1997437.449,88,444551.9524901563,54,54,0,1,NA,NA,NA,NA,1531605,1531605,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biological
overlap,Buffalo SMM xAOC,11,DR-4694-NY,SEVERE WINTER STORM AND SNOWSTORM,Snowstorm,2022-12-24,2022-12-24,2022-12-24,2022-12-28,2022-12-24,2022-12-24,1,1,96222.76681702933,709034.505,6,96222.76681702933,1,1,0.009693472,0.774213978,46523,18182.600716,2,93.58333333333331,1531605,1185790,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter Storms
overlap,Buffalo SMM xAOC,11,EM-3590-NY,SEVERE WINTER STORM,Winter Storm,2022-12-24,2022-12-24,2022-12-24,2022-12-28,2022-12-24,2022-12-24,1,1,96222.76681702933,709034.505,6,96222.76681702933,1,1,0,0.63738823,39662,16663.62398,1,93.625,1531605,976227,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter Storms
